stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,5.0,0.03515499993227422,,0.01807440002448857,0.03515499993227422,0.5537846999941394,0.5537846999941394,0.5686394999502227,0.868138000019826,2.298978899954818,right,5.0,1,1,1.729813800076954,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
1,1,3.0,2.3166366999503225,,2.2991036999737844,2.3166366999503225,2.801539200008847,2.801539200008847,2.818232799996622,3.101314299972728,3.2362211999716237,right,3.0,0,0,0.42583289998583496,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
2,1,4.0,3.2517682999605313,,3.2363036000169814,3.2517682999605313,3.751373799983412,3.751373799983412,3.751373799983412,4.050970199983567,4.402308400021866,left,-4.0,1,1,0.6424937999108806,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
3,1,4.0,4.417832399951294,,4.402397700003348,4.417832399951294,4.901756400009617,4.901756400009617,4.9180153999477625,5.200757700018585,5.568481300026178,left,-4.0,0,0,0.6536697000265121,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
4,1,5.0,5.5841191000072286,,5.5685868000146,5.5841191000072286,6.067610700032674,6.067610700032674,6.0840576000045985,6.367663700017147,6.8351009000325575,right,5.0,0,0,0.7624412999721244,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
5,1,6.0,6.850564799970016,,6.835183499963023,6.850564799970016,7.350801500026137,7.350801500026137,7.350801500026137,7.6506405000109226,7.8184312999947,right,6.0,1,1,0.4592164000496268,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
6,1,6.0,7.83453690004535,,7.818514000042342,7.83453690004535,8.334134400007315,8.334134400007315,8.334134400007315,8.633710799971595,8.785192599985749,right,6.0,1,1,0.4479140000184998,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
7,1,6.0,8.800533900037408,,8.78526909998618,8.800533900037408,9.300628599943593,9.300628599943593,9.300628599943593,9.600853899959475,9.785573299974203,left,-6.0,1,1,0.46815630001947284,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
8,1,5.0,9.801024400047027,,9.785662699956447,9.801024400047027,10.301987000042573,10.301987000042573,10.301987000042573,10.603363299975172,10.63687020004727,right,5.0,1,1,0.3191465000854805,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
9,1,5.0,10.65180839993991,,10.637159600039013,10.65180839993991,11.151332100038417,11.151332100038417,11.167416300042532,11.450402199989185,11.568809899967164,left,-5.0,1,1,0.400001100031659,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
10,0.5,5.0,11.583735699998215,,11.568884099950083,11.583735699998215,12.067065899958834,12.067065899958834,12.083758499938995,12.367041799938306,12.368110400042497,left,-5.0,0,0,0.29020559997297823,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
11,0.5,5.5,12.383812699932605,,12.368192299967632,12.383812699932605,12.867321499972604,12.867321499972604,12.884305999963544,13.166683299932629,13.4342834999552,right,5.5,0,0,0.5639595999382436,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
12,0.5,6.0,13.450109799974598,,13.434425899991766,13.450109799974598,13.950585999991745,13.950585999991745,13.950585999991745,14.249652200029232,14.667622899985872,left,-6.0,1,1,0.7038239000830799,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
13,0.5,6.0,14.683353399974294,,14.667690600035712,14.683353399974294,15.182973799994215,15.182973799994215,15.182973799994215,,15.450524599989876,left,-6.0,1,1,0.2654507999541238,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
14,0.5,6.0,15.466237799962983,,15.450603200006299,15.466237799962983,15.94982009998057,15.94982009998057,15.966268099960871,16.24962549994234,16.267988199950196,left,-6.0,1,1,0.31302250002045184,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
15,0.5,5.5,16.28353060001973,,16.268070899997838,16.28353060001973,16.783128699986264,16.783128699986264,16.783128699986264,17.082671999931335,17.300743700005114,right,5.5,0,0,0.5056381999747828,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
16,0.5,6.0,17.316098000039347,,17.300827499944717,17.316098000039347,17.816121999989264,17.816121999989264,17.816121999989264,18.116048399941064,18.10100170003716,right,6.0,1,1,0.28345500002615154,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
17,0.5,6.0,18.116048399941064,,18.101078500039876,18.116048399941064,18.615881099947728,18.615881099947728,18.615881099947728,18.915976000018418,19.183688599965535,left,-6.0,0,0,0.5579751000041142,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
18,0.5,6.5,19.199638099991716,,19.183773700031452,19.199638099991716,19.69913640001323,19.69913640001323,19.69913640001323,19.999675799976103,20.066777299973182,right,6.5,0,0,0.3589493000181392,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
19,0.5,7.0,20.082480399985798,,20.066858500009403,20.082480399985798,20.582442400045693,20.582442400045693,20.582442400045693,20.88227469997946,21.066709500038996,right,7.0,1,1,0.4796185999875888,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
